ic001,am001,ald001,ptsa,yield,p3/p2
0.3,0.3,0.12,0.3,0,1.7172007479706215
0.3,0.2976315789473684,0.12236842105263157,0.2976315789473684,0,1.7046610963947098
0.3,0.29526315789473684,0.12473684210526315,0.29526315789473684,0,1.6922592801419263
0.3,0.29289473684210526,0.12710526315789472,0.29289473684210526,0,1.6799892311679196
0.3,0.2905263157894737,0.1294736842105263,0.2905263157894737,0,1.6678553285584994
0.3,0.28815789473684206,0.1318421052631579,0.28815789473684206,0,1.655838379871335
0.3,0.2857894736842105,0.13421052631578947,0.2857894736842105,0,1.643948520210591
0.3,0.2834210526315789,0.13657894736842105,0.2834210526315789,0,1.6321881364384287
0.3,0.28105263157894733,0.13894736842105262,0.28105263157894733,0,1.620532024895187
0.3,0.27868421052631576,0.1413157894736842,0.27868421052631576,0,1.609004209894667
0.3,0.2763157894736842,0.14368421052631578,0.2763157894736842,0,1.5975777675013942
0.3,0.2739473684210526,0.14605263157894735,0.2739473684210526,0,1.5862645929865626
0.3,0.27157894736842103,0.14842105263157895,0.27157894736842103,0,1.5750543080373467
0.3,0.26921052631578946,0.15078947368421053,0.26921052631578946,0,1.5639368998983794
0.3,0.2668421052631579,0.1531578947368421,0.2668421052631579,0,1.5529182841762044
0.3,0.2644736842105263,0.15552631578947368,0.2644736842105263,0,1.5420077039342062
0.3,0.26210526315789473,0.15789473684210525,0.26210526315789473,0,1.53117284084258
0.3,0.25973684210526315,0.16026315789473683,0.25973684210526315,0,1.5204403042308563
0.3,0.2573684210526316,0.1626315789473684,0.2573684210526316,0,1.5097927860605378
0.3,0.255,0.16499999999999998,0.255,0,1.4992300906775993
0.3,0.25263157894736843,0.16736842105263156,0.25263157894736843,0,1.4887517129870458
0.3,0.25026315789473685,0.16973684210526313,0.25026315789473685,0,1.478349266241312
0.3,0.24789473684210525,0.17210526315789473,0.24789473684210525,0,1.4680236403222082
0.3,0.24552631578947368,0.1744736842105263,0.24552631578947368,0,1.457780184593483
0.3,0.2431578947368421,0.17684210526315788,0.2431578947368421,0,1.4475962771753366
0.3,0.24078947368421053,0.17921052631578946,0.24078947368421053,0,1.4374892860728172
0.3,0.23842105263157895,0.18157894736842103,0.23842105263157895,0,1.4274468114868288
0.3,0.23605263157894735,0.18394736842105264,0.23605263157894735,0,1.4174651934479372
0.3,0.23368421052631577,0.1863157894736842,0.23368421052631577,0,1.407545163121224
0.3,0.2313157894736842,0.1886842105263158,0.2313157894736842,0,1.3976821883211124
0.3,0.22894736842105262,0.19105263157894736,0.22894736842105262,0,1.3878705444222093
0.3,0.22657894736842105,0.19342105263157894,0.22657894736842105,0,1.378110084922166
0.3,0.22421052631578947,0.1957894736842105,0.22421052631578947,0,1.3683958880276395
0.3,0.2218421052631579,0.1981578947368421,0.2218421052631579,0,1.3587244973622823
0.3,0.21947368421052632,0.20052631578947366,0.21947368421052632,0,1.3490919707449516
0.3,0.21710526315789475,0.20289473684210524,0.21710526315789475,0,1.3394913535983868
0.3,0.21473684210526317,0.20526315789473681,0.21473684210526317,0,1.3299196013284793
0.3,0.2123684210526316,0.2076315789473684,0.2123684210526316,0,1.3203725832476905
0.3,0.21,0.21,0.21,0,1.3108442284076334
0.3,0.20763157894736842,0.21236842105263157,0.20763157894736842,0,1.30132761764155
0.3,0.20526315789473684,0.21473684210526314,0.20526315789473684,0,1.291813118769914
0.3,0.20289473684210527,0.21710526315789472,0.20289473684210527,0,1.2822967449001668
0.3,0.2005263157894737,0.2194736842105263,0.2005263157894737,0,1.2727711627876803
0.3,0.1981578947368421,0.2218421052631579,0.1981578947368421,0,1.263219527801147
0.3,0.1957894736842105,0.22421052631578947,0.1957894736842105,0,1.2536354117909778
0.3,0.19342105263157894,0.22657894736842105,0.19342105263157894,0,1.244008941070753
0.3,0.19105263157894736,0.22894736842105262,0.19105263157894736,0,1.2343219167033859
0.3,0.1886842105263158,0.2313157894736842,0.1886842105263158,0,1.2245573588585903
0.3,0.1863157894736842,0.23368421052631577,0.1863157894736842,0,1.2146790696409444
0.3,0.18394736842105264,0.23605263157894735,0.18394736842105264,0,1.2047027737509464
0.3,0.18157894736842106,0.23842105263157892,0.18157894736842106,0,1.1945583738563008
0.3,0.1792105263157895,0.2407894736842105,0.1792105263157895,0,1.1842483830479984
0.3,0.1768421052631579,0.24315789473684207,0.1768421052631579,0,1.1737253083590733
0.3,0.1744736842105263,0.24552631578947368,0.1744736842105263,0,1.1629328239268646
0.3,0.17210526315789473,0.24789473684210525,0.17210526315789473,0,1.151815986686649
0.3,0.16973684210526313,0.25026315789473685,0.16973684210526313,0,1.1403151513084453
0.3,0.16736842105263156,0.25263157894736843,0.16736842105263156,0,1.1283364129258455
0.3,0.16499999999999998,0.255,0.16499999999999998,0,1.1157894868150124
0.3,0.1626315789473684,0.2573684210526316,0.1626315789473684,0,1.1025304127635105
0.3,0.16026315789473683,0.25973684210526315,0.16026315789473683,0,1.0884126035968245
0.3,0.15789473684210525,0.26210526315789473,0.15789473684210525,0,1.0732295887912955
0.3,0.15552631578947368,0.2644736842105263,0.15552631578947368,0,1.056742224493549
0.3,0.1531578947368421,0.2668421052631579,0.1531578947368421,0,1.0386467678713285
0.3,0.15078947368421053,0.26921052631578946,0.15078947368421053,0,1.0185937479631464
0.3,0.14842105263157895,0.27157894736842103,0.14842105263157895,0,0.9961628271113825
0.3,0.14605263157894738,0.2739473684210526,0.14605263157894738,0,0.9709163619790091
0.3,0.1436842105263158,0.2763157894736842,0.1436842105263158,0,0.9424040005913127
0.3,0.14131578947368423,0.27868421052631576,0.14131578947368423,0,0.9102825241282307
0.3,0.13894736842105265,0.28105263157894733,0.13894736842105265,0,0.8743932008119141
0.3,0.13657894736842108,0.2834210526315789,0.13657894736842108,0,0.8349686730481581
0.3,0.1342105263157895,0.2857894736842105,0.1342105263157895,0,0.7926812251771568
0.3,0.13184210526315793,0.28815789473684206,0.13184210526315793,0,0.7486474161353283
0.3,0.12947368421052635,0.29052631578947363,0.12947368421052635,0,0.7042250754812008
0.3,0.12710526315789478,0.2928947368421052,0.12710526315789478,0,0.6607424041187708
0.3,0.1247368421052632,0.2952631578947368,0.1247368421052632,0,0.6191606517241413
0.3,0.12236842105263163,0.29763157894736836,0.12236842105263163,0,0.5799737661865525
0.3,0.12,0.3,0.12,0,0.5433372683785498
