global_index,c#methoxybenzaldehyde_[M],c#ethyl_acetoacetate_[M],c#ammonium_acetate_[M],19d_c_HPLC_[M],19d_y_HPLC_[%],19e_c_HPLC_[M],19e_y_HPLC_[%],19k_c_HPLC_[M],19k_y_HPLC_[%],19j_c_HPLC_[M],19j_y_HPLC_[%],
1,0.011318616,0.011318616,0.106450423,0,0,0.000329,5.8105,0,0,0,0,
4,0.011212445,0.100817036,0.105451899,0.0019,16.956,0.000228333,4.069666667,0,0,0,0,
7,0.027161255,0.054491073,0.104998304,0.0008185,3.0125,0.00224,16.4885,8.90E-05,0.65,0,0,
10,0.069469039,0.074539988,0.104504316,0.00277,7.434333333,0.005603333,16.12933333,0,0,0,0,
13,0.100817036,0.011212445,0.105451899,0,0,0.00275,24.5075,0,0,0,0,
16,0.099764751,0.099764751,0.104351237,0.00605,12.12633333,0.00644,12.90966667,0,0,0,0,
19,0.011203667,0.011203667,0.402952438,0,0,0.000691,12.3345,0,0,0,0,
22,0.011121794,0.100001945,0.400007782,0.000645,5.7995,0.00204,36.717,0.0007855,14.1,0,0,
25,0.027016803,0.054201273,0.399398036,0.000150667,0.557333333,0.004066667,30.11133333,0.000543333,4,0,0,
28,0.06897035,0.074004897,0.396775534,0.0005905,1.5955,0.01185,34.414,0.0005065,1.45,0,0,
31,0.100001945,0.011121794,0.400007782,0,0,0.003563333,32.04233333,0,0,0,0,
34,0.099688073,0.099688073,0.398752291,0.001453333,2.913666667,0.020633333,41.40566667,0.000487,0.966666667,0,0,
37,0.01120228,0.057122142,0.105356303,0.000583,5.204,0.0006555,11.711,0,0,0,0,
40,0.057122142,0.01120228,0.105356303,0,0,0.00161,14.386,0,0,0,0,
43,0.056779052,0.056779052,0.104723506,0.001185,4.163,0.004825,16.9915,0,0,0,0,
46,0.056649433,0.099892095,0.104484436,0.004776667,9.558,0.003583333,12.641,0,0,0,0,
49,0.099892095,0.056649433,0.104484436,0.00127,4.491,0.008225,16.464,0,0,0,0,
52,0.011223463,0.011223463,0.258414497,0,0,0.0005525,9.8485,0,0,0,0,
55,0.0111091,0.056646999,0.255781344,0.000181,1.629,0.00127,22.803,0.000624,11.25,0,0,
58,0.011134243,0.100113885,0.256360265,0.0009705,8.6975,0.00139,25.0095,0.000161,2.9,0,0,
61,0.056646999,0.0111091,0.255781344,0,0,0.00238,21.448,0,0,0,0,
64,0.056385761,0.056385761,0.254601761,0.000338,1.2,0.00797,28.27333333,0.000330667,1.166666667,0,0,
67,0.056274905,0.099231677,0.254101209,0.001995,4.023,0.009985,35.491,0.0004205,1.5,0,0,
70,0.100113885,0.011134243,0.256360265,0,0,0.00331,29.727,0,0,0,0,
73,0.099231677,0.056274905,0.254101209,0.0003045,1.0825,0.01375,27.6975,0,0,0,0,
76,0.099221395,0.099221395,0.254074878,0.002435,4.911,0.01745,35.162,0.000231,0.5,0,0,
79,0.011138628,0.056797568,0.40061323,0.00011105,0.9985,0.001555,27.9515,0.000729,13.1,0,0,
82,0.056797568,0.011138628,0.40061323,0,0,0.002815,25.266,0,0,0,0,
85,0.056323147,0.056323147,0.397266974,0.000207,0.7365,0.008645,30.6985,0,0,0,0,
88,0.056269074,0.099221395,0.396885578,0.00127,2.5525,0.0114,40.5625,0.000652,2.3,0,0,
91,0.099221395,0.056269074,0.396885578,0.000124333,0.441666667,0.0157,31.65233333,0.000279333,0.966666667,0,0,
